[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,107.0000,24.0000,108,4.458333

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:Head,POS,0,0.000000
mixamorig:Head,POS,1,1.000000
mixamorig:Head,POS,2,2.000000
mixamorig:Head,POS,3,3.000000
mixamorig:Head,POS,4,4.000000
mixamorig:Head,POS,5,5.000000
mixamorig:Head,POS,6,6.000000
mixamorig:Head,POS,7,7.000000
mixamorig:Head,POS,8,8.000000
mixamorig:Head,POS,9,9.000000
mixamorig:Head,POS,10,10.000000
mixamorig:Head,POS,11,11.000000
mixamorig:Head,POS,12,12.000000
mixamorig:Head,POS,13,13.000000
mixamorig:Head,POS,14,14.000000
mixamorig:Head,POS,15,15.000000
mixamorig:Head,POS,16,16.000000
mixamorig:Head,POS,17,17.000000
mixamorig:Head,POS,18,18.000000
mixamorig:Head,POS,19,19.000000
mixamorig:Head,POS,20,20.000000
mixamorig:Head,POS,21,21.000000
mixamorig:Head,POS,22,22.000000
mixamorig:Head,POS,23,23.000000
mixamorig:Head,POS,24,24.000000
mixamorig:Head,POS,25,25.000000
mixamorig:Head,POS,26,26.000000
mixamorig:Head,POS,27,27.000000
mixamorig:Head,POS,28,28.000000
mixamorig:Head,POS,29,29.000000
mixamorig:Head,POS,30,30.000000
mixamorig:Head,POS,31,31.000000
mixamorig:Head,POS,32,32.000000
mixamorig:Head,POS,33,33.000000
mixamorig:Head,POS,34,34.000000
mixamorig:Head,POS,35,35.000000
mixamorig:Head,POS,36,36.000000
mixamorig:Head,POS,37,37.000000
mixamorig:Head,POS,38,38.000000
mixamorig:Head,POS,39,39.000000
mixamorig:Head,POS,40,40.000000
mixamorig:Head,POS,41,41.000000
mixamorig:Head,POS,42,42.000000
mixamorig:Head,POS,43,43.000000
mixamorig:Head,POS,44,44.000000
mixamorig:Head,POS,45,45.000000
mixamorig:Head,POS,46,46.000000
mixamorig:Head,POS,47,47.000000
mixamorig:Head,POS,48,48.000000
mixamorig:Head,POS,49,49.000000
mixamorig:Head,POS,50,50.000000
mixamorig:Head,POS,51,51.000000
mixamorig:Head,POS,52,52.000000
mixamorig:Head,POS,53,53.000000
mixamorig:Head,POS,54,54.000000
mixamorig:Head,POS,55,55.000000
mixamorig:Head,POS,56,56.000000
mixamorig:Head,POS,57,57.000000
mixamorig:Head,POS,58,58.000000
mixamorig:Head,POS,59,59.000000
mixamorig:Head,POS,60,60.000000
mixamorig:Head,POS,61,61.000000
mixamorig:Head,POS,62,62.000000
mixamorig:Head,POS,63,63.000000
mixamorig:Head,POS,64,64.000000
mixamorig:Head,POS,65,65.000000
mixamorig:Head,POS,66,66.000000
mixamorig:Head,POS,67,67.000000
mixamorig:Head,POS,68,68.000000
mixamorig:Head,POS,69,69.000000
mixamorig:Head,POS,70,70.000000
mixamorig:Head,POS,71,71.000000
mixamorig:Head,POS,72,72.000000
mixamorig:Head,POS,73,73.000000
mixamorig:Head,POS,74,74.000000
mixamorig:Head,POS,75,75.000000
mixamorig:Head,POS,76,76.000000
mixamorig:Head,POS,77,77.000000
mixamorig:Head,POS,78,78.000000
mixamorig:Head,POS,79,79.000000
mixamorig:Head,POS,80,80.000000
mixamorig:Head,POS,81,81.000000
mixamorig:Head,POS,82,82.000000
mixamorig:Head,POS,83,83.000000
mixamorig:Head,POS,84,84.000000
mixamorig:Head,POS,85,85.000000
mixamorig:Head,POS,86,86.000000
