[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,24.0000,24.0000,25,1.000000

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:Head,POS,0,0.000000
mixamorig:Head,POS,1,1.000000
mixamorig:Head,POS,2,2.000000
mixamorig:Head,POS,3,3.000000
mixamorig:Head,POS,4,4.000000
mixamorig:Head,POS,5,5.000000
mixamorig:Head,POS,6,6.000000
mixamorig:Head,POS,7,7.000000
mixamorig:Head,POS,8,8.000000
mixamorig:Head,POS,9,9.000000
mixamorig:Head,POS,10,10.000000
mixamorig:Head,POS,11,11.000000
mixamorig:Head,POS,12,12.000000
mixamorig:Head,POS,13,13.000000
mixamorig:Head,POS,14,14.000000
mixamorig:Head,POS,15,15.000000
mixamorig:Head,POS,16,16.000000
mixamorig:Head,POS,17,17.000000
mixamorig:Head,POS,18,18.000000
mixamorig:Head,POS,19,19.000000
mixamorig:Head,POS,20,20.000000
mixamorig:Head,POS,21,21.000000
mixamorig:Head,POS,22,22.000000
mixamorig:Head,POS,23,23.000000
mixamorig:Head,POS,24,24.000000
mixamorig:Head,ROT,0,0.000000
mixamorig:Head,ROT,1,-inf
mixamorig:Head,ROT,2,0.000000
mixamorig:Head,ROT,3,-0.000000
mixamorig:Head,ROT,4,3.000000
mixamorig:Head,ROT,5,-inf
mixamorig:Head,ROT,6,0.000000
mixamorig:Head,ROT,7,-0.000000
mixamorig:Head,ROT,8,6.000000
mixamorig:Head,ROT,9,-inf
mixamorig:Head,ROT,10,0.000000
mixamorig:Head,ROT,11,0.000000
mixamorig:Head,ROT,12,9.000000
mixamorig:Head,ROT,13,-inf
mixamorig:Head,ROT,14,0.000000
mixamorig:Head,ROT,15,0.000002
mixamorig:Head,ROT,16,12.000000
mixamorig:Head,ROT,17,-inf
mixamorig:Head,ROT,18,0.000000
mixamorig:Head,ROT,19,0.000000
mixamorig:Head,ROT,20,15.000000
mixamorig:Head,ROT,21,-inf
mixamorig:Head,ROT,22,-0.000000
mixamorig:Head,ROT,23,-0.000000
mixamorig:Head,ROT,24,18.000000
mixamorig:Head,SCL,0,0.000000
mixamorig:Head,SCL,1,1.000000
mixamorig:Head,SCL,2,2.000000
mixamorig:Head,SCL,3,3.000000
mixamorig:Head,SCL,4,4.000000
mixamorig:Head,SCL,5,5.000000
mixamorig:Head,SCL,6,6.000000
mixamorig:Head,SCL,7,7.000000
mixamorig:Head,SCL,8,8.000000
mixamorig:Head,SCL,9,9.000000
mixamorig:Head,SCL,10,10.000000
mixamorig:Head,SCL,11,11.000000
mixamorig:Head,SCL,12,12.000000
mixamorig:Head,SCL,13,13.000000
mixamorig:Head,SCL,14,14.000000
mixamorig:Head,SCL,15,15.000000
mixamorig:Head,SCL,16,16.000000
mixamorig:Head,SCL,17,17.000000
mixamorig:Head,SCL,18,18.000000
mixamorig:Head,SCL,19,19.000000
mixamorig:Head,SCL,20,20.000000
mixamorig:Head,SCL,21,21.000000
mixamorig:Head,SCL,22,22.000000
mixamorig:Head,SCL,23,23.000000
mixamorig:Head,SCL,24,24.000000
mixamorig:Hips,POS,0,0.000000
mixamorig:Hips,POS,1,1.000000
mixamorig:Hips,POS,2,2.000000
mixamorig:Hips,POS,3,3.000000
mixamorig:Hips,POS,4,4.000000
mixamorig:Hips,POS,5,5.000000
mixamorig:Hips,POS,6,6.000000
mixamorig:Hips,POS,7,7.000000
mixamorig:Hips,POS,8,8.000000
